"";"time";"time_formatted";"available";"termin";"impfzentrum_name"
"1";1622989522,15336;"2021-06-06 16:25:22";FALSE;NA;NA
"2";1622989526,20754;"2021-06-06 16:25:26";FALSE;NA;NA
"3";1622989530,29529;"2021-06-06 16:25:30";FALSE;NA;NA
"4";1622989534,3465;"2021-06-06 16:25:34";FALSE;NA;NA
"5";1622989538,42142;"2021-06-06 16:25:38";FALSE;NA;NA
"6";1622989542,49848;"2021-06-06 16:25:42";FALSE;NA;NA
"7";1622989546,56988;"2021-06-06 16:25:46";FALSE;NA;NA
"8";1622989551,43651;"2021-06-06 16:25:51";FALSE;NA;NA
"9";1622989555,51338;"2021-06-06 16:25:55";FALSE;NA;NA
"10";1622989559,58598;"2021-06-06 16:25:59";FALSE;NA;NA
"11";1622989563,65887;"2021-06-06 16:26:03";FALSE;NA;NA
"12";1622989567,72399;"2021-06-06 16:26:07";FALSE;NA;NA
"13";1622989571,79823;"2021-06-06 16:26:11";FALSE;NA;NA
"14";1622989575,86635;"2021-06-06 16:26:15";FALSE;NA;NA
"15";1622989579,93719;"2021-06-06 16:26:19";FALSE;NA;NA
"16";1622989584,00967;"2021-06-06 16:26:24";FALSE;NA;NA
"17";1622989588,11446;"2021-06-06 16:26:28";FALSE;NA;NA
"18";1622989592,16569;"2021-06-06 16:26:32";FALSE;NA;NA
"19";1622989596,23838;"2021-06-06 16:26:36";FALSE;NA;NA
"20";1622989600,28766;"2021-06-06 16:26:40";FALSE;NA;NA
"21";1622989604,38732;"2021-06-06 16:26:44";TRUE;"23.06.";"Erika-Heß-Eisstadion"
"22";1622989608,46551;"2021-06-06 16:26:48";TRUE;"23.06.";"Erika-Heß-Eisstadion"
"23";1622989612,55549;"2021-06-06 16:26:52";TRUE;"23.06.";"Erika-Heß-Eisstadion"
"24";1622989617,45168;"2021-06-06 16:26:57";FALSE;NA;NA
"25";1622989622,44938;"2021-06-06 16:27:02";FALSE;NA;NA
"26";1622989626,52445;"2021-06-06 16:27:06";FALSE;NA;NA
"27";1622989630,61649;"2021-06-06 16:27:10";FALSE;NA;NA
"28";1622989634,69839;"2021-06-06 16:27:14";FALSE;NA;NA
"29";1622989638,75674;"2021-06-06 16:27:18";FALSE;NA;NA
"30";1622989642,88853;"2021-06-06 16:27:22";FALSE;NA;NA
"31";1622989646,94031;"2021-06-06 16:27:26";FALSE;NA;NA
"32";1622989650,99999;"2021-06-06 16:27:31";FALSE;NA;NA
"33";1622989655,13023;"2021-06-06 16:27:35";FALSE;NA;NA
"34";1622989659,2126;"2021-06-06 16:27:39";FALSE;NA;NA
"35";1622989663,28437;"2021-06-06 16:27:43";FALSE;NA;NA
"36";1622989667,64788;"2021-06-06 16:27:47";FALSE;NA;NA
"37";1622989671,69936;"2021-06-06 16:27:51";FALSE;NA;NA
"38";1622989675,77684;"2021-06-06 16:27:55";FALSE;NA;NA
"39";1622989679,83148;"2021-06-06 16:27:59";FALSE;NA;NA
"40";1622989683,87904;"2021-06-06 16:28:03";FALSE;NA;NA
"41";1622989687,92764;"2021-06-06 16:28:07";FALSE;NA;NA
"42";1622989691,97938;"2021-06-06 16:28:11";FALSE;NA;NA
"43";1622989696,03926;"2021-06-06 16:28:16";FALSE;NA;NA
"44";1622989700,11607;"2021-06-06 16:28:20";FALSE;NA;NA
"45";1622989704,18615;"2021-06-06 16:28:24";FALSE;NA;NA
"46";1622989708,26551;"2021-06-06 16:28:28";FALSE;NA;NA
"47";1622989712,34622;"2021-06-06 16:28:32";FALSE;NA;NA
"48";1622989716,4044;"2021-06-06 16:28:36";FALSE;NA;NA
"49";1622989720,46832;"2021-06-06 16:28:40";FALSE;NA;NA
"50";1622989724,52265;"2021-06-06 16:28:44";FALSE;NA;NA
"51";1622989728,59187;"2021-06-06 16:28:48";FALSE;NA;NA
"52";1622989732,66626;"2021-06-06 16:28:52";FALSE;NA;NA
"53";1622989736,74026;"2021-06-06 16:28:56";FALSE;NA;NA
"54";1622989740,79374;"2021-06-06 16:29:00";FALSE;NA;NA
"55";1622989744,86442;"2021-06-06 16:29:04";FALSE;NA;NA
"56";1622989748,97714;"2021-06-06 16:29:08";FALSE;NA;NA
"57";1622989753,09666;"2021-06-06 16:29:13";FALSE;NA;NA
"58";1622989757,16109;"2021-06-06 16:29:17";FALSE;NA;NA
"59";1622989761,23407;"2021-06-06 16:29:21";FALSE;NA;NA
"60";1622989765,28677;"2021-06-06 16:29:25";FALSE;NA;NA
"61";1622989769,34598;"2021-06-06 16:29:29";FALSE;NA;NA
"62";1622989773,41261;"2021-06-06 16:29:33";FALSE;NA;NA
"63";1622989777,46433;"2021-06-06 16:29:37";FALSE;NA;NA
"64";1622989781,53463;"2021-06-06 16:29:41";FALSE;NA;NA
"65";1622989785,60832;"2021-06-06 16:29:45";FALSE;NA;NA
"66";1622989789,68629;"2021-06-06 16:29:49";FALSE;NA;NA
"67";1622989793,77361;"2021-06-06 16:29:53";FALSE;NA;NA
"68";1622989797,84708;"2021-06-06 16:29:57";FALSE;NA;NA
"69";1622989801,9344;"2021-06-06 16:30:01";FALSE;NA;NA
"70";1622989806,0156;"2021-06-06 16:30:06";FALSE;NA;NA
"71";1622989810,06844;"2021-06-06 16:30:10";FALSE;NA;NA
"72";1622989814,13727;"2021-06-06 16:30:14";FALSE;NA;NA
"73";1622989818,21712;"2021-06-06 16:30:18";FALSE;NA;NA
"74";1622989822,28812;"2021-06-06 16:30:22";FALSE;NA;NA
"75";1622989826,36345;"2021-06-06 16:30:26";FALSE;NA;NA
"76";1622989830,43534;"2021-06-06 16:30:30";FALSE;NA;NA
"77";1622989834,51444;"2021-06-06 16:30:34";FALSE;NA;NA
"78";1622989838,59865;"2021-06-06 16:30:38";FALSE;NA;NA
"79";1622989842,67446;"2021-06-06 16:30:42";FALSE;NA;NA
"80";1622989846,7637;"2021-06-06 16:30:46";FALSE;NA;NA
"81";1622989850,87218;"2021-06-06 16:30:50";FALSE;NA;NA
"82";1622989854,94639;"2021-06-06 16:30:54";FALSE;NA;NA
"83";1622989859,02857;"2021-06-06 16:30:59";FALSE;NA;NA
"84";1622989863,11293;"2021-06-06 16:31:03";FALSE;NA;NA
"85";1622989867,27111;"2021-06-06 16:31:07";FALSE;NA;NA
"86";1622989871,37314;"2021-06-06 16:31:11";FALSE;NA;NA
"87";1622989875,44812;"2021-06-06 16:31:15";FALSE;NA;NA
"88";1622989879,53038;"2021-06-06 16:31:19";FALSE;NA;NA
"89";1622989883,61732;"2021-06-06 16:31:23";FALSE;NA;NA
"90";1622989887,70596;"2021-06-06 16:31:27";FALSE;NA;NA
"91";1622989891,79242;"2021-06-06 16:31:31";FALSE;NA;NA
"92";1622989895,88668;"2021-06-06 16:31:35";TRUE;"15.06.";"Erika-Heß-Eisstadion"
"93";1622989900,00403;"2021-06-06 16:31:40";TRUE;"15.06.";"Erika-Heß-Eisstadion"
"94";1622989904,08075;"2021-06-06 16:31:44";FALSE;NA;NA
"95";1622989908,19831;"2021-06-06 16:31:48";FALSE;NA;NA
"96";1622989912,28894;"2021-06-06 16:31:52";FALSE;NA;NA
"97";1622989916,37961;"2021-06-06 16:31:56";FALSE;NA;NA
"98";1622989920,46111;"2021-06-06 16:32:00";FALSE;NA;NA
"99";1622989924,56708;"2021-06-06 16:32:04";FALSE;NA;NA
"100";1622989928,70333;"2021-06-06 16:32:08";FALSE;NA;NA
"101";1622989933,02818;"2021-06-06 16:32:13";FALSE;NA;NA
"102";1622989937,13236;"2021-06-06 16:32:17";FALSE;NA;NA
"103";1622989941,20465;"2021-06-06 16:32:21";FALSE;NA;NA
"104";1622989945,33751;"2021-06-06 16:32:25";FALSE;NA;NA
"105";1622989949,42453;"2021-06-06 16:32:29";FALSE;NA;NA
"106";1622989953,4947;"2021-06-06 16:32:33";FALSE;NA;NA
"107";1622989957,57411;"2021-06-06 16:32:37";FALSE;NA;NA
"108";1622989961,64018;"2021-06-06 16:32:41";FALSE;NA;NA
"109";1622989965,71711;"2021-06-06 16:32:45";FALSE;NA;NA
"110";1622989969,79382;"2021-06-06 16:32:49";FALSE;NA;NA
"111";1622989973,89586;"2021-06-06 16:32:53";TRUE;"15.06.";"Arena Berlin"
"112";NA;NA;NA;"NA.NA.";"Erika-Heß-Eisstadion"
"113";1622991563,72702;"2021-06-06 16:59:23";FALSE;NA;NA
"114";1622991567,8009;"2021-06-06 16:59:27";FALSE;NA;NA
"115";1622991571,87398;"2021-06-06 16:59:31";FALSE;NA;NA
"116";1622991575,95097;"2021-06-06 16:59:35";FALSE;NA;NA
"117";1622991580,02515;"2021-06-06 16:59:40";FALSE;NA;NA
"118";1622991584,09852;"2021-06-06 16:59:44";FALSE;NA;NA
"119";1622991588,17465;"2021-06-06 16:59:48";FALSE;NA;NA
"120";1622991592,25148;"2021-06-06 16:59:52";FALSE;NA;NA
"121";1622991596,35241;"2021-06-06 16:59:56";FALSE;NA;NA
"122";1622991600,42758;"2021-06-06 17:00:00";FALSE;NA;NA
"123";1622991604,50844;"2021-06-06 17:00:04";FALSE;NA;NA
"124";1622991608,58252;"2021-06-06 17:00:08";FALSE;NA;NA
"125";1622991612,63477;"2021-06-06 17:00:12";FALSE;NA;NA
"126";1622991616,69842;"2021-06-06 17:00:16";FALSE;NA;NA
"127";1622991620,75178;"2021-06-06 17:00:20";FALSE;NA;NA
